Date,Open,High,Low,Close,Adj Close,Volume,Zlema,PVT,MAMAFAMA,BuySellCount,BuySell
1982-01-26,0.0876,0.0876,0.0865,0.0865,0.068,21212800,False,,,-1,0
1982-01-27,0.0871,0.0882,0.0871,0.0871,0.0685,31360000,False,,,-1,0
1982-01-28,0.0898,0.0904,0.0898,0.0898,0.0706,39603200,False,True,,0,0
1982-01-29,0.091,0.0915,0.091,0.091,0.0715,53155200,True,,,1,0
1982-02-01,0.091,0.091,0.0898,0.0898,0.0706,38528000,False,,,-1,0
1982-02-02,0.0904,0.0915,0.0904,0.0904,0.0711,54275200,True,,,1,0
1982-02-03,0.0904,0.091,0.0904,0.0904,0.0711,31472000,True,,,1,0
1982-02-04,0.0887,0.0887,0.0882,0.0882,0.0693,22041600,False,False,,-2,False
1982-02-05,0.0882,0.0887,0.0882,0.0882,0.0693,40297600,False,,,-1,0
1982-02-08,0.0831,0.0831,0.0826,0.0826,0.0649,31696000,False,,,-1,0
1982-02-09,0.0826,0.0831,0.0826,0.0826,0.0649,57904000,False,,,-1,0
1982-02-10,0.0837,0.0843,0.0837,0.0837,0.0658,38796800,False,,,-1,0
1982-02-11,0.0831,0.0831,0.0826,0.0826,0.0649,24528000,False,,,-1,0
1982-02-12,0.0837,0.0843,0.0837,0.0837,0.0658,19644800,False,,,-1,0
1982-02-16,0.0826,0.0826,0.082,0.082,0.0645,34316800,False,,,-1,0
1982-02-17,0.0831,0.0837,0.0831,0.0831,0.0654,25580800,True,,,1,0
1982-02-18,0.0843,0.0848,0.0843,0.0843,0.0663,28380800,True,,,1,0
1982-02-19,0.0843,0.0843,0.0837,0.0837,0.0658,13596800,True,,,1,0
1982-02-22,0.0831,0.0831,0.0826,0.0826,0.0649,26633600,False,,,-1,0
1982-02-23,0.082,0.082,0.0815,0.0815,0.0641,34540800,False,,,-1,0
1982-02-24,0.082,0.0826,0.082,0.082,0.0645,37945600,False,,,-1,0
1982-02-25,0.082,0.082,0.0815,0.0815,0.0641,30800000,False,,,-1,0
1982-02-26,0.0815,0.082,0.0815,0.0815,0.0641,17427200,False,,,-1,0
1982-03-01,0.082,0.0826,0.082,0.082,0.0645,35302400,False,,,-1,0
1982-03-02,0.082,0.0826,0.082,0.082,0.0645,34809600,True,,,1,0
1982-03-03,0.082,0.0826,0.082,0.082,0.0645,23654400,True,,,1,0
1982-03-04,0.0809,0.0809,0.0804,0.0804,0.0632,38371200,False,,,-1,0
1982-03-05,0.0748,0.0748,0.0742,0.0742,0.0584,45315200,False,,,-1,0
1982-03-08,0.0737,0.0737,0.0731,0.0731,0.0575,35145600,False,,,-1,0
1982-03-09,0.0737,0.0742,0.0737,0.0737,0.0579,52505600,False,,,-1,0
1982-03-10,0.0731,0.0731,0.0725,0.0725,0.057,86934400,False,,,-1,0
1982-03-11,0.0725,0.0737,0.0725,0.0725,0.057,22579200,False,,,-1,0
1982-03-12,0.0686,0.0686,0.0681,0.0681,0.0535,46547200,False,,True,0,0
1982-03-15,0.0681,0.0681,0.0675,0.0675,0.0531,51363200,False,,,-1,0
1982-03-16,0.067,0.067,0.0664,0.0664,0.0522,47152000,False,,,-1,0
1982-03-17,0.0636,0.0636,0.0631,0.0631,0.0496,50489600,False,,,-1,0
1982-03-18,0.0681,0.0686,0.0681,0.0681,0.0535,56336000,False,,,-1,0
1982-03-19,0.0742,0.0748,0.0742,0.0742,0.0584,65811200,True,True,,2,Buy
1982-03-22,0.0798,0.0804,0.0798,0.0798,0.0627,69193600,True,,,1,0
1982-03-23,0.0792,0.0792,0.0787,0.0787,0.0619,55955200,True,,,1,0
1982-03-24,0.0748,0.0748,0.0742,0.0742,0.0584,51609600,True,,False,0,0
1982-03-25,0.0742,0.0742,0.0737,0.0737,0.0579,84112000,True,,,1,0
1982-03-26,0.0731,0.0731,0.0725,0.0725,0.057,50780800,True,,,1,0
1982-03-29,0.0742,0.0748,0.0742,0.0742,0.0584,67603200,False,,True,0,0
1982-03-30,0.0753,0.0759,0.0753,0.0753,0.0592,77952000,False,,,-1,0
1982-03-31,0.0753,0.0759,0.0753,0.0753,0.0592,50153600,False,,,-1,0
1982-04-01,0.0792,0.0798,0.0792,0.0792,0.0623,59136000,True,,,1,0
1982-04-02,0.0792,0.0798,0.0792,0.0792,0.0623,84806400,True,,,1,0
1982-04-05,0.0792,0.0798,0.0792,0.0792,0.0623,86643200,True,,,1,0
1982-04-06,0.0792,0.0792,0.0787,0.0787,0.0619,71590400,True,,,1,0
1982-04-07,0.0781,0.0781,0.0776,0.0776,0.061,29097600,True,,False,0,0
1982-04-08,0.0781,0.0787,0.0781,0.0781,0.0614,23990400,True,,True,2,Buy
1982-04-12,0.0781,0.0787,0.0776,0.0776,0.061,44307200,False,,False,-2,False
1982-04-13,0.072,0.072,0.0714,0.0714,0.0562,85299200,False,False,True,-1,0
